OTU_ID	otu115	otu95	otu227	otu68	otu163	otu179	otu175	otu31	otu211	otu229	otu112	otu210	otu84	otu209	otu230	otu51	otu124	otu127	otu62	otu207	otu35	otu13	otu125	otu234	otu246	otu218	otu12	otu120	otu111	otu170	otu46	otu174	otu36	otu187	otu196	otu30	otu164	otu154	otu219	otu156
otu207	0.1	0.0	1.0	0.3	0.0	0.6	0.0	0.0	1.0	0.9	0.5	0.8	0.1	0.0	0.0	0.6	0.5	0.0	0.0	1.0	0.0	0.9	0.2	0.4	0.0	0.3	0.1	0.0	0.7	0.4	0.5	1.0	0.5	0.3	0.0	0.5	0.0	0.2	0.3	0.5
otu35	0.6	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.6	0.0	0.6	0.0	1.0	0.0	0.0	0.3	0.0	0.0	0.0	0.4	0.6	0.2	1.0	0.4	0.0	0.7	0.9	0.0	0.0	0.7	0.0	0.0
otu13	0.4	0.0	0.1	0.5	0.0	0.0	0.0	0.9	0.6	0.0	0.1	0.7	0.2	0.5	0.0	0.1	0.0	0.6	0.3	0.9	0.0	1.0	0.4	0.5	0.5	0.9	0.2	0.8	0.8	0.3	0.3	0.1	0.8	0.3	0.2	0.2	0.5	0.6	0.9	0.2
otu125	0.8	0.0	0.0	0.6	0.5	0.6	0.4	0.0	0.0	0.8	0.9	0.0	0.0	0.0	0.4	1.0	0.8	0.2	0.7	0.2	0.0	0.4	1.0	0.8	0.0	0.0	0.0	0.0	1.0	0.4	0.8	0.9	0.0	0.9	0.2	0.5	0.0	0.5	0.0	0.3
otu234	0.1	0.1	0.0	0.7	0.0	0.1	0.0	0.0	0.5	0.0	0.0	0.1	0.0	0.9	0.0	0.2	0.1	0.0	0.0	0.4	0.3	0.5	0.8	1.0	0.0	0.0	0.2	0.6	0.0	0.0	0.0	0.5	0.0	0.0	0.4	0.4	0.7	0.0	0.0	0.0
otu246	0.2	0.0	0.0	0.1	0.3	0.2	0.0	0.0	0.9	0.2	0.0	0.9	0.0	0.1	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.7	0.7	0.5	0.0	0.0	1.0	0.3	0.0	0.1	0.1	0.3	0.0	1.0
otu218	0.0	0.1	1.0	0.5	1.0	0.4	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.7	0.1	0.0	0.4	0.0	0.1	0.3	0.0	0.9	0.0	0.0	0.0	1.0	0.6	0.9	0.9	0.8	0.0	0.8	0.0	0.1	0.7	0.0	0.0	0.1	0.0	0.0
otu12	1.0	0.0	0.0	1.0	0.0	0.2	0.2	0.0	0.0	1.0	0.0	0.4	0.6	0.0	0.0	0.9	0.5	0.0	0.0	0.1	0.0	0.2	0.0	0.2	0.0	0.6	1.0	0.1	0.2	0.5	0.2	0.3	0.0	0.0	0.2	1.0	0.1	0.7	0.8	0.7
otu120	0.6	0.2	0.7	0.3	0.1	0.3	0.1	0.3	0.3	0.5	1.0	0.8	0.1	0.5	0.7	0.9	0.0	0.6	0.3	0.0	0.4	0.8	0.0	0.6	0.7	0.9	0.1	1.0	0.9	0.2	0.9	0.9	0.3	0.0	0.0	0.9	0.1	0.9	0.2	1.0
otu111	0.1	0.0	0.0	0.3	0.6	0.9	0.0	1.0	0.7	0.2	0.1	0.2	0.0	0.4	0.2	0.0	1.0	0.0	0.0	0.7	0.6	0.8	1.0	0.0	0.7	0.9	0.2	0.9	1.0	0.0	0.6	1.0	0.7	0.0	0.5	0.1	0.5	0.1	0.8	0.1
otu170	0.9	0.1	0.2	0.2	0.3	0.8	0.2	0.0	0.1	0.6	0.5	1.0	0.0	0.9	0.2	0.7	0.3	0.4	0.0	0.4	0.2	0.3	0.4	0.0	0.5	0.8	0.5	0.2	0.0	1.0	0.1	0.0	0.4	0.2	0.0	0.0	0.4	0.5	1.0	0.3
otu46	0.1	0.8	0.0	0.8	0.0	0.9	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	1.0	0.6	0.0	0.0	0.1	0.5	1.0	0.3	0.8	0.0	0.0	0.0	0.2	0.9	0.6	0.1	1.0	0.2	1.0	0.0	0.7	0.0	0.7	0.0	0.0	0.0
otu174	0.3	0.9	0.0	0.0	0.0	0.0	0.0	0.7	0.5	0.7	0.6	0.7	0.7	0.8	0.0	0.3	0.0	0.7	0.6	1.0	0.4	0.1	0.9	0.5	0.0	0.8	0.3	0.9	1.0	0.0	0.2	1.0	0.5	0.0	0.0	0.0	0.2	0.1	0.9	0.0
otu36	0.7	0.0	0.1	0.7	1.0	0.1	0.0	0.6	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.3	0.2	0.4	0.0	0.5	0.0	0.8	0.0	0.0	1.0	0.0	0.0	0.3	0.7	0.4	1.0	0.5	1.0	0.8	1.0	0.1	0.0	0.5	0.0	1.0
otu187	0.0	0.2	0.0	1.0	0.0	0.0	0.0	0.4	0.7	1.0	0.0	0.2	0.2	0.8	0.3	0.4	0.1	0.2	0.1	0.3	0.7	0.3	0.9	0.0	0.3	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.8	1.0	0.6	0.1	0.7	0.0	0.0	0.0
otu196	0.5	0.0	0.0	0.0	0.1	0.8	0.2	0.8	1.0	0.6	0.0	0.9	0.8	0.1	0.1	0.1	0.0	0.8	0.7	0.0	0.9	0.2	0.2	0.4	0.0	0.7	0.2	0.0	0.5	0.0	0.7	0.0	1.0	0.6	1.0	0.4	0.1	0.3	0.7	0.3
otu30	0.2	0.0	0.0	1.0	0.2	0.4	1.0	0.7	0.0	0.8	0.3	0.0	0.0	0.6	0.9	0.5	0.9	0.8	0.1	0.5	0.0	0.2	0.5	0.4	0.1	0.0	1.0	0.9	0.1	0.0	0.0	0.0	0.1	0.1	0.4	1.0	0.0	0.6	0.0	0.0
otu164	0.2	0.1	0.2	0.1	0.2	0.2	0.2	1.0	0.1	0.5	0.0	0.0	0.0	0.0	0.0	0.4	0.5	1.0	0.5	0.0	0.0	0.5	0.0	0.7	0.1	0.0	0.1	0.1	0.5	0.4	0.7	0.2	0.0	0.7	0.1	0.0	1.0	0.2	0.0	0.2
otu154	0.2	0.4	0.0	0.8	0.0	0.0	0.0	0.1	0.3	0.0	0.1	0.8	0.0	0.9	0.3	1.0	0.8	0.2	0.4	0.2	0.7	0.6	0.5	0.0	0.3	0.1	0.7	0.9	0.1	0.5	0.0	0.1	0.5	0.0	0.3	0.6	0.2	1.0	0.0	0.0
otu219	0.0	0.8	0.0	0.1	1.0	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.2	0.2	0.0	0.0	0.3	0.0	0.9	0.0	0.0	0.0	0.0	0.8	0.2	0.8	1.0	0.0	0.9	0.0	0.0	0.7	0.0	0.0	0.0	1.0	0.0
otu156	0.1	0.0	1.0	0.8	0.0	0.6	0.4	0.3	0.4	0.4	0.0	0.1	0.0	1.0	0.5	0.7	0.7	0.9	0.1	0.5	0.0	0.2	0.3	0.0	1.0	0.0	0.7	1.0	0.1	0.3	0.0	0.0	1.0	0.0	0.3	0.0	0.2	0.0	0.0	1.0
