OTU_ID	otu49	otu45	otu19	otu31	otu139	otu122	otu40	otu90	otu121	otu100	otu9	otu51	otu62	otu10	otu13	otu86	otu80	otu96	otu16	otu60	otu147	otu78	otu134	otu53	otu38	otu150	otu33	otu153	otu106	otu118	otu164	otu44	otu50	otu73	otu104	otu0	otu107
otu49	1.0	0.0845029239766	0.166792868697	0.382217956238	0.198505128068	0.284149202794	0.184706446968	0.190092251906	-0.0416893297072	0.0850592794042	0.29711957198	0.322730585329	0.048019872376	0.0747969213815	0.133523525125	0.222383085373	0.07421745854	0.279463730248	-0.034610462326	0.290046925825	0.0643354841003	-0.0524787145168	0.00350788318314	0.0536394176932	-0.00252937307809	0.0363168559697	0.330076965463	0.0214410138822	0.209415382428	0.0981060808048	0.337398460691	0.0600259514033	-0.0139168844096	-0.206597166676	-0.00284843313959	0.148088305871	0.167165253559
otu45	0.0845029239766	1.0	0.182307719654	0.185205033861	-0.103820722018	0.511583035603	0.253136387067	0.0932784087879	0.346366803534	0.0515606391866	0.154674807586	0.161370625144	0.205903944258	0.122414191507	0.148658881246	0.226449990224	0.0494827494268	0.247342647399	0.0430819957696	0.418561474609	-0.0316198297161	0.0730763077908	0.0666497804796	0.433644394675	-0.0906103912263	0.286911427505	0.233572406193	0.323652215645	-0.085703620754	0.0119118718783	0.143154872998	-0.0702021009972	0.0887831280328	-0.553297250218	0.389620327414	0.39595175883	0.0903579871665
otu19	0.166792868697	0.182307719654	1.0	0.203018183757	-0.0368323290496	0.226774382765	0.0957402371176	0.151805044526	0.1924296557	0.144487993032	0.191343607245	0.17670594927	0.131545174994	0.0047707922288	0.19295579374	0.178944702181	0.114746085071	0.0928011518157	0.109179864555	0.265952114328	0.0668995182993	0.0328329689472	0.041157859187	0.252978190156	-0.0104365523738	0.0252377397394	0.0914013757799	0.110582306831	0.0972822126238	-0.0896301036279	0.181469631526	0.0629534829983	-0.126027835546	-0.229186441281	0.242188805347	0.177011678131	-0.021627650687
otu31	0.382217956238	0.185205033861	0.203018183757	1.0	0.157615670382	0.288957322384	0.289415026929	0.228156383867	0.134789989157	0.179453065287	0.44999200128	0.299031266109	0.158164027089	0.154924545406	0.236911427505	0.290894790167	0.168315291776	0.287013633374	-0.00820935317016	0.434403384347	0.14973959722	-0.137785954247	0.132505021419	0.237873051423	0.0394363568496	0.0968902753337	0.342126593078	0.0559146092181	0.194243587693	0.101020281199	0.33555164507	0.104908547966	-0.0368696564105	-0.250655895057	0.0358511527045	0.209306955332	0.174322330649
otu139	0.198505128068	-0.103820722018	-0.0368323290496	0.157615670382	1.0	-0.00515650829201	-0.0614994934144	0.177346735633	-0.0791846637871	-0.00161929646812	0.110398336266	0.00764144403562	-0.063048578894	-0.128934037221	0.0522574165911	-0.0577809772659	0.0785074388098	0.145325192414	-0.0437414458131	-0.0912520663361	0.0801089603441	0.0711263975542	-0.012877050783	-0.0990428198155	-0.0263780017419	-0.0202785332125	0.218782772534	-0.0516690662827	0.161550151976	0.00553955811515	0.17355445351	0.104207326828	0.0707611226648	0.062590874349	-0.141658223573	-0.0156454967205	0.156547396861
otu122	0.284149202794	0.511583035603	0.226774382765	0.288957322384	-0.00515650829201	1.0	0.446810288132	0.100135089497	0.220774453865	0.12215023374	0.399042819815	0.390556177678	0.267751826374	0.245638919995	0.190456638049	0.324948008319	0.10013953323	0.313101014949	0.0679331306991	0.479521498782	0.00753212819282	-0.153914929167	-0.00200590127802	0.504242876695	-0.100551911694	0.106965996552	0.377121882721	0.230089407917	0.0439982936064	0.0292237686415	0.309265184237	0.0103103503439	-0.121895163441	-0.490330436019	0.282489912725	0.53514371034	0.0730523116301
otu40	0.184706446968	0.253136387067	0.0957402371176	0.289415026929	-0.0614994934144	0.446810288132	1.0	0.0630112515331	0.110940471747	0.0787234042553	0.39764037754	0.325412822837	0.153559430491	0.306922447964	0.0200572352868	0.330107182851	0.0253123944613	0.20116248067	-0.104619705292	0.390599726266	-0.051731278551	-0.135153486553	-0.0132903179936	0.32160543202	0.0864581666933	0.039532341492	0.315272223111	0.0638733358218	-0.064634102988	0.0857311719014	0.247830569331	-0.0242698945946	-0.0724577400949	-0.350598126522	0.093710339679	0.423408699053	0.0649469418226
otu90	0.190092251906	0.0932784087879	0.151805044526	0.228156383867	0.177346735633	0.100135089497	0.0630112515331	1.0	0.139929611262	0.118582804529	0.203444782168	0.0537905046304	0.0738708473311	0.0178282585897	0.119040509074	0.0762171385912	0.141054764571	0.147196892942	-0.00207344602641	0.11756785581	0.0989432801863	0.125775431487	0.140983664836	0.0566264953163	0.0343944968805	0.100470146999	0.166678220374	0.153463445849	0.164854512167	0.117908245792	0.239126184255	0.0950967845145	0.0175118647683	-0.128567873585	0.0529364190618	0.152612915267	0.0884685117048
otu121	-0.0416893297072	0.346366803534	0.1924296557	0.134789989157	-0.0791846637871	0.220774453865	0.110940471747	0.139929611262	1.0	0.154036687463	0.212701967685	0.105247160454	0.272547503511	0.192940685046	0.00814802964859	0.152092998454	0.0914289269272	0.0977034785545	0.00657494800832	0.374125028884	0.0783732380597	0.0328569651078	0.173907285945	0.309865976999	0.0705709308733	0.191531132797	0.0409685561421	0.243601912583	-0.0397314207505	0.0979469951474	0.0130050303063	0.0159814429691	0.0552551591745	-0.26121065074	0.178870047459	0.281818908975	0.0643150429265
otu100	0.0850592794042	0.0515606391866	0.144487993032	0.179453065287	-0.00161929646812	0.12215023374	0.0787234042553	0.118582804529	0.154036687463	1.0	0.212094953696	0.104154002026	0.203123055867	0.0763113457402	0.172406192787	0.154603707851	0.11720258092	0.0843829431735	0.0554577934197	0.170093673901	0.142995787341	0.000449705824846	0.13908174692	0.13957855632	0.125718551698	0.129014024423	0.0233633729714	0.185851152704	0.0738264099966	0.0911294192929	0.147307986278	0.126717502977	0.0303053733625	-0.115769921257	0.0589878952701	0.1106711815	0.000132423256723
otu9	0.29711957198	0.154674807586	0.191343607245	0.44999200128	0.110398336266	0.399042819815	0.39764037754	0.203444782168	0.212701967685	0.212094953696	1.0	0.347076912139	0.197881227892	0.311132441032	0.144017846034	0.254246431682	0.115071366359	0.206648713984	-0.121011749231	0.451697506177	0.139685205923	-0.00104872109351	0.0753275031551	0.301619296468	0.0495636253755	0.0696208606623	0.376914804742	0.224055706642	0.141778204376	0.087329138449	0.237044739508	0.0744707513465	-0.0354076681064	-0.288629374856	0.0951287793953	0.39492081267	0.20286709682
otu51	0.322730585329	0.161370625144	0.17670594927	0.299031266109	0.00764144403562	0.390556177678	0.325412822837	0.0537905046304	0.105247160454	0.104154002026	0.347076912139	1.0	0.142742494534	0.254241099202	0.130838621376	0.263575605681	0.0526760162818	0.134917968681	-0.133104036687	0.336388844452	0.0588927993743	-0.0721200163529	-0.0158552409392	0.226765495299	-0.0153228816723	0.0560230363142	0.275092874029	0.0393928082618	0.114606551841	0.0525738104126	0.312596206829	0.0185339234611	-0.092110595638	-0.270893545922	0.0292797596829	0.218723226506	0.214931833129
